Name,Description,Type,Rating,Latitude,Longitude
Martyrs' Memorial (Maqam E'chahid),An iconic towering concrete monument celebrating Algeria's independence.,Monument,9.5,36.7458,3.0698
Botanical Garden Hamma,A lush and historic botanical garden established in 1832 featuring thousands of plant species.,Park/Garden,9.6,36.7466763,3.0727362
Casbah of Algiers,A historic UNESCO World Heritage citadel characterized by its narrow winding streets and rich history.,Historical Site,8.5,36.7844706,3.0578458
Great Mosque of Algiers (Djamaa el Djazaïr),A modern architectural marvel boasting the world's tallest minaret.,Mosque,9.7,36.7333,3.1436
Notre Dame d'Afrique,A stunning Catholic basilica from the 19th century offering panoramic views of the Bay of Algiers.,Cathedral,9.5,36.8009649,3.0432768
Bardo National Museum,A fascinating museum of prehistory and ethnography housed in a beautifully restored Moorish villa.,Museum,8.9,36.7603755,3.0461464
National Museum of Fine Arts,One of the largest art museums in Africa featuring Algerian and European masterpieces.,Museum,9.0,36.7460178,3.0724043
Palais des Raïs (Bastion 23),A beautifully preserved Ottoman-era palace complex sitting right on the Mediterranean coast.,Palace,9.2,36.7885,3.0631
Ketchaoua Mosque,A historic mosque blending Moorish and Byzantine architecture located at the foot of the Casbah.,Mosque,9.1,36.7850951,3.0607434
La Grande Poste,A magnificent neo-Moorish post office that serves as a central landmark in downtown Algiers.,Historical Site,9.3,36.7727638,3.0588067
Museum of Antiquities and Islamic Arts,The oldest museum in Algeria showcasing ancient mosaics and beautiful Islamic artifacts.,Museum,7.8,36.7622,3.0483
Martyrs' Square (Place des Martyrs),A bustling public square steeped in history and offering great views of the sea.,Square/Plaza,7.5,36.7847493,3.0623509
National Museum of Moudjahid,Located beneath the Martyrs' Memorial it details the Algerian struggle for independence.,Museum,8.5,36.7455,3.0700
Dar Mustapha Pacha,An exquisite 18th-century Ottoman palace renowned for its interior tile work.,Palace,8.2,36.7856532,3.0607354
Museum of Modern Art of Algiers (MaMa),A hub for contemporary Algerian art located in a beautifully restored neo-Moorish commercial building.,Museum,8.0,36.7770,3.0583
Djamaa el Djedid,A 17th-century Ottoman mosque with striking white domes prominently situated near the harbor.,Mosque,8.6,36.7836,3.0625
Djamaa el Kebir (Great Mosque),One of the oldest mosques in Algiers featuring beautiful Almoravid architecture.,Mosque,8.8,36.7853,3.0642
Ali La Pointe Museum,A poignant memorial dedicated to the famed Algerian martyr located deep within the Casbah.,Museum,7.9,36.7833518,3.0586752
Ben Aknoun Zoo,A sprawling zoo and amusement park perfect for family outings.,Park/Garden,3.2,36.74297,3.0064728
Liberty Park (Parc de la Liberté),A quiet geometrical park offering scenic stairs greenery and Ottoman-inspired ceramics.,Park/Garden,6.2,36.7628,3.0486
Museum of Popular Arts and Traditions,Housed in a 16th-century palace this museum displays traditional Algerian crafts and jewelry.,Museum,7.4,36.786707,3.0609357
Dar Aziza,One of the oldest surviving palaces in the Casbah featuring classic courtyard architecture.,Palace,7.6,36.7850529,3.0615164
Dar Hassan Pacha,A majestic former winter palace known for its fusion of Moorish and European styles.,Palace,7.2,36.7852733,3.0610256
Emir Abdelkader Square,A vibrant central plaza featuring a prominent statue of the famous Algerian leader.,Square/Plaza,8.1,36.7886783,3.06054
Port of Algiers,The historic and modern maritime heart of the city.,Historical Site,3.5,36.7636474,3.0609709
Sablettes Promenade,A highly popular waterfront park area with walking paths playgrounds and sea views.,Park/Promenade,8.9,36.7459321,3.104403
Sidi Fredj Marina,A picturesque marina and historical peninsula perfect for coastal dining and boat watching.,Marina/Coastal,8.5,36.7637637,2.8471988
Moretti Beach,A popular and well-maintained beach resort area just west of the city.,Beach,7.0,36.7624762,2.8679304
Zeralda Beach,A spacious sandy beach offering numerous tourist complexes and relaxation spots.,Beach,6.1,36.7162454,2.868799
Ain Benian Coast,A rocky and scenic coastal stretch known for excellent seafood restaurants.,Beach/Coastal,6.8,36.8028,2.9230
Fort de l'Empereur,The ruins of a historic fortress offering sweeping views over the city.,Historical Site,3.8,36.7766,3.0416
Cape Caxine Lighthouse,A historic 19th-century lighthouse guiding ships into the Bay of Algiers.,Monument,7.5,36.8122,2.9467
Tifariti Park,A lush urban green space offering a tranquil escape from the bustling city.,Park/Garden,5.0,36.7651,3.0498
Beirut Garden,A well-shaded family-friendly park known for its old trees and peaceful atmosphere.,Park/Garden,5.2,36.7600,3.0465
Dounia Park,A massive developing ecological park ideal for long walks and outdoor activities.,Park/Garden,4.8,36.7418848,2.9842636
El Hamma Library,The majestic national library building offering impressive modern architecture.,Cultural Center,8.7,36.7484164,3.0719156
